SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,final
17.048357,11.394002,8.553323,9.782489,0.545139,22.955679,0.87435,-0.338667,431.196373,307.433926,59.958526,-0.163349,16.718705,-0.332261,0.007019,4.437544,5.073205,1.765993,16.508362,0.874702,0.0109,698.486763,326.597359,0,Bankrupted
17.777371,5.022056,0.405121,0.405121,1.33546,0.676128,1,0.073301,61.828454,134.429902,365.416021,0.028336,17.834058,-0.472987,20.121869,0.455641,0.500191,1.125059,0.804943,0.910933,0.008382,50.308317,276.608621,366.879367,Bankrupted
11.855231,6.372713,2.939412,2.939412,50.054526,2.089913,1,0.192623,188.64515,29.310724,109.392223,0.319564,12.517553,1,17.366526,1.585416,1.585427,378.147222,1.050186,0.999993,0.427538,283.190442,195.587902,89.918697,Bankrupted
13.911165,16.481641,5.661395,5.66136,13.304319,6.360569,1.000006,0.101952,357.85015,239.631257,0,0.036113,13.983422,0.298251,20.036991,5.801234,5.801234,12.686171,6.682304,1,0.0906,271.614982,288.64375,0,Bankrupted
14.93396,24.877081,6.295984,6.295984,0.855904,5.916377,1,-0.079627,232.387033,173.791784,58.048552,0.054719,15.043507,-1,20.175692,7.068596,7.068596,0.731521,7.849565,1,-0.118476,241.826172,183.83576,57.286862,Bankrupted
13.742265,38.30736,6.122324,6.122324,0.526064,5.637259,1,-0.283839,11.847126,245.600517,0,0.298616,14.358264,-0.351794,38.871929,5.691649,5.691612,0.448397,10.406871,1.000006,-0.218278,240.975998,418.328223,0,Bankrupted
15.120019,19.436701,6.702978,6.702978,63.768465,5.352133,1,0.14074,311.93363,29.927636,32.670675,-0.083622,14.952385,0.492204,15.358261,5.249375,5.249375,79.280127,4.257412,1,0.173942,325.460627,42.927935,30.399356,Bankrupted
15.462392,41.984756,2.929238,3.444128,8.899379,5.071541,0.850502,0.14212,395.909792,202.877588,176.986379,0.15242,15.769626,-0.092149,40.912899,1.521273,2.597673,3.298102,4.512769,0.585629,0.193179,457.892816,349.874337,209.189855,Bankrupted
14.943006,33.950649,3.966549,4.106046,0.779867,2.934025,0.966026,-0.133341,165.18892,26.032529,63.566507,0.12061,15.185406,0.071923,33.99743,1.157388,4.548146,2.461724,3.332498,0.254475,0.458061,151.134198,27.905173,70.471505,Bankrupted
18.084061,-71.787466,0.021042,0.038628,2.817719,1.143367,0.544736,0.521513,2089.152419,1686.274746,771.431076,-0.007257,18.069546,0.941226,38.746819,0.031585,0.058735,2.873073,1.186579,0.537763,0.520988,1920.420588,1359.942155,122.140436,Bankrupted
13.230511,35.94596,4.856537,4.856537,11.194818,2.30425,1,0.162662,92.735684,83.133184,207.570069,-0.029863,13.170767,-0.37158,39.697183,3.782499,3.782499,11.901943,2.161782,1,0.152859,47.500611,151.890258,344.702904,Bankrupted
15.388187,12.896481,30.602346,35.911546,5.438206,18.30931,0.852159,0.040169,149.678066,118.856837,34.535917,-0.041958,15.304223,-0.763716,11.324379,23.974922,27.886343,1.44099,15.394469,0.859737,-0.00044,145.821202,112.672155,49.780574,Bankrupted
14.109318,14.424671,14.855561,23.572844,1.091871,10.007714,0.630198,-0.114328,53.698296,112.57553,13.234921,0.04054,14.190443,-0.368936,13.161186,12.678043,19.050455,1.137725,10.728184,0.665498,-0.116016,64.511445,131.37626,37.984038,Bankrupted
13.071884,32.754268,2.835608,3.47904,15.876748,3.27797,0.815055,0.195224,156.132533,82.167819,189.919963,-0.169294,12.730005,0.248795,36.139887,3.256077,3.256077,19.685135,1.980801,1,0.203176,184.573086,47.363488,209.65986,Bankrupted
15.228073,16.067266,12.067761,12.185461,3.030303,7.885534,0.990341,0.064954,177.640218,162.310664,35.104031,-0.05603,15.115895,-0.366442,16.621275,6.489272,6.489272,4.433202,4.24026,1,0.134319,197.891763,174.499104,42.456243,Bankrupted
15.929209,10.659605,1.459117,7.77549,1.783445,40.465741,0.187656,-0.479804,380.865389,18.569982,655.503363,0.096603,16.123019,-0.642561,14.927649,5.350601,-3.009944,2.73717,-25.912455,-1.777641,-0.283878,409.974729,40.637416,1371.448474,Bankrupted
15.71231,35.849503,0.808673,0.929762,1.815936,1.009124,0.869764,0.149248,214.213489,128.226445,374.977436,0.053067,15.818543,-0.535308,34.404367,1.023917,1.111833,1.625469,1.238371,0.920927,0.029933,203.760303,110.302357,388.926834,Bankrupted
14.219207,7.172148,20.604506,21.139379,3.711184,7.645507,0.974698,0.024764,48.132857,6.973097,37.130655,0.05414,14.327593,-0.354457,6.254954,24.43939,24.43939,34.313266,12.747351,1,0.000742,96.14272,16.724244,33.662474,Bankrupted
12.148851,15.448807,-11.338067,-9.061035,-0.517687,-11.793217,1.251299,-0.675704,0,0,101.821508,0.213624,12.582782,-0.014053,10.864643,-4.680689,-4.680689,-1.013289,-9.253851,1,-0.681845,0,0,127.362572,Bankrupted
14.21983,24.827902,5.378844,5.378844,0.737521,2.183476,1,-0.369064,83.325448,85.034998,0,0.107967,14.436608,1,18.962282,8.753712,8.753712,0.466091,4.616372,1,-0.375104,104.676403,61.752792,0,Bankrupted
19.309802,2.965355,0.073897,11.368387,1.063672,155.067102,0.0065,0.002331,90.904104,52.592845,256.39776,0.021404,19.352618,0.51501,1.257706,0.115597,-4.280004,1.055353,-38.640748,-0.027009,-0.022204,35.581885,39.928354,197.031861,Bankrupted
14.715864,14.908827,3.825538,3.825538,1.106286,3.837996,1,0.003016,237.737177,245.101349,15.257944,0.332519,15.407179,1,17.883614,3.678333,3.678333,0.534423,5.049908,1,-0.16013,333.06649,292.009688,46.979403,Bankrupted
15.182899,3.265915,37.6616,57.30431,5.915511,7.699829,0.657221,-0.022451,18.133152,40.040302,13.531381,0.191267,15.570202,0.212376,2.9493,76.252703,121.758284,3.724716,12.350644,0.626263,-0.044199,19.737245,33.056895,12.004339,Bankrupted
14.363132,30.070256,8.529159,8.529159,19.982467,6.969063,1,0.120952,18.838792,139.734664,294.408036,0.282998,14.945008,-0.427305,30.785286,8.758694,8.758694,6.386107,13.534822,1,0.055588,30.977222,378.102394,621.273404,Bankrupted
16.244218,4.904213,0.462587,0.900342,0.854251,1.430892,0.51379,-0.189309,134.333736,191.126574,88.745267,-0.017589,16.209037,-0.181162,1.576787,0.481656,0.993714,0.699381,2.072943,0.484703,-0.279966,127.353978,319.055745,112.837795,Bankrupted
15.919981,27.008409,0.32309,0.410879,1.042048,0.658483,0.786338,-0.0838,336.470161,274.149436,30.104752,0.032927,15.985858,-0.551753,23.054927,0.279611,0.350356,1.127491,0.714762,0.798075,-0.07872,593.046197,426.742376,16.370886,Bankrupted
14.796652,12.759217,13.37258,13.37258,1.248299,2.842749,1,0.053477,55.635114,68.178439,12.90706,-0.019204,14.758238,-1,17.150348,17.663152,17.663152,1.089297,3.728207,1,-0.031942,49.096728,80.285788,18.813417,Bankrupted
11.563343,58.625911,5.041098,5.041098,0.607574,1.88611,1,-0.356581,0,292.17287,11.338217,0.07596,11.715556,0.415093,63.934909,2.919553,2.919553,1.16402,1.21191,1,-0.131927,4.297045,318.487098,9.026637,Bankrupted
16.029913,95.891219,0.029437,0.029437,0.738583,1.076538,1,-0.171298,6421.704102,706662.6066,438.209598,0.001561,16.033035,0.543924,34.336427,0.044018,0.044017,0.714239,1.195179,1,-0.222372,5153.94344,15073.2219,0,Bankrupted
11.669031,33.575171,7.295604,7.295604,4.184411,5.791742,1,0.037914,117.613984,221.530605,14.021845,0.154653,11.980839,0.543325,58.7837,16.003464,16.003464,5.281344,11.378067,1,-0.002261,33.786486,263.262099,53.416091,Bankrupted
12.385001,22.47347,10.713602,11.319859,1.751444,3.466723,0.946443,-0.046194,17.306926,101.2221,0,-0.237685,11.900362,0.431669,100,6.864571,11.008587,4.064332,1.424022,0.623565,0.145615,0,577.874907,288.081482,Bankrupted
14.997842,26.528375,4.808706,4.830064,1.198913,1.92615,0.995578,-0.042221,99.925413,85.53366,12.888469,-0.184298,14.624984,-0.794303,33.318787,12.452136,12.452136,0.36449,8.512545,1,-0.366946,115.916514,184.283304,65.635897,Bankrupted
13.842263,26.339612,1.266739,1.266739,2.544519,0.80045,1,0.243414,38.214938,288.497873,481.479454,0.30118,14.463898,-0.421017,22.721954,1.073585,1.073587,1.188867,3.09578,0.999998,-0.034715,117.850255,625.019908,899.339808,Bankrupted
