SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,SCALED-CHANGE-ASSETS,SIZE,CH.NET-INCOME,GR-PROFIT-MARGIN,CAPITAL-EMPLOYED-TURNOVER,STOCKHOLDERS-EQUITY-TURNOVER,CAPITAL-EMPLOYED/NET-FIXED-ASSETS,DEBT/EQUITY,EQUITY/CAPITAL-EMPLOYED,WORKING-CAPITAL/TOTAL-ASSETS,AV-COLLECTION-PERIOD-FOR-RECIEVABLES,AV-PAYMENT-PERIOD,AV-TURNOVER-PERIOD-FOR-INVENTORIES,final
17.048357,11.394002,8.553323,9.782489,0.545139,22.955679,0.87435,-0.338667,431.196373,307.433926,59.958526,-0.163349,16.718705,-0.332261,0.007019,4.437544,5.073205,1.765993,16.508362,0.874702,0.0109,698.486763,326.597359,0,0.044032,16.806825,-1,11.866386,2.799876,3.518541,1.096791,35.151696,0.795749,-0.024809,2233.510199,939.705106,0,Bankrupted
17.777371,5.022056,0.405121,0.405121,1.33546,0.676128,1,0.073301,61.828454,134.429902,365.416021,0.028336,17.834058,-0.472987,20.121869,0.455641,0.500191,1.125059,0.804943,0.910933,0.008382,50.308317,276.608621,366.879367,-0.097722,17.637988,-1,-48.85333,1.839697,2.402629,0.459472,3.115523,0.765702,-0.494313,33.63748,129.110164,45.74953,Bankrupted
11.855231,6.372713,2.939412,2.939412,50.054526,2.089913,1,0.192623,188.64515,29.310724,109.392223,0.319564,12.517553,1,17.366526,1.585416,1.585427,378.147222,1.050186,0.999993,0.427538,283.190442,195.587902,89.918697,0.329882,13.202946,-1,-0.0022,3.957503,3.957503,41.107373,3.725991,1,0.171188,359.852652,317.255876,17.197103,Bankrupted
13.911165,16.481641,5.661395,5.66136,13.304319,6.360569,1.000006,0.101952,357.85015,239.631257,0,0.036113,13.983422,0.298251,20.036991,5.801234,5.801234,12.686171,6.682304,1,0.0906,271.614982,288.64375,0,0.061063,14.1057,0.040065,18.059403,7.060798,7.060798,20.41947,7.691993,1,0.082127,310.991454,204.567157,0,Bankrupted
14.93396,24.877081,6.295984,6.295984,0.855904,5.916377,1,-0.079627,232.387033,173.791784,58.048552,0.054719,15.043507,-1,20.175692,7.068596,7.068596,0.731521,7.849565,1,-0.118476,241.826172,183.83576,57.286862,-0.276377,14.475997,-0.639322,18.531964,7.523031,7.523004,0.54607,8.236416,1.000004,-0.277293,70.555791,167.958195,16.684478,Bankrupted
13.742265,38.30736,6.122324,6.122324,0.526064,5.637259,1,-0.283839,11.847126,245.600517,0,0.298616,14.358264,-0.351794,38.871929,5.691649,5.691612,0.448397,10.406871,1.000006,-0.218278,240.975998,418.328223,0,0.218348,14.802105,0.666632,26.818378,4.986072,4.986072,1.10773,7.350602,1,-0.083698,154.362275,133.216637,0.132322,Bankrupted
15.120019,19.436701,6.702978,6.702978,63.768465,5.352133,1,0.14074,311.93363,29.927636,32.670675,-0.083622,14.952385,0.492204,15.358261,5.249375,5.249375,79.280127,4.257412,1,0.173942,325.460627,42.927935,30.399356,-0.147615,14.654982,-0.830522,16.867642,3.569876,3.569876,78.698348,3.229296,1,0.217872,340.370536,100.0506,62.573339,Bankrupted
15.462392,41.984756,2.929238,3.444128,8.899379,5.071541,0.850502,0.14212,395.909792,202.877588,176.986379,0.15242,15.769626,-0.092149,40.912899,1.521273,2.597673,3.298102,4.512769,0.585629,0.193179,457.892816,349.874337,209.189855,0.10167,15.97367,-0.74118,40.42654,1.577128,2.732517,5.362489,5.781083,0.57717,0.194968,481.964038,410.512005,345.176656,Bankrupted
14.943006,33.950649,3.966549,4.106046,0.779867,2.934025,0.966026,-0.133341,165.18892,26.032529,63.566507,0.12061,15.185406,0.071923,33.99743,1.157388,4.548146,2.461724,3.332498,0.254475,0.458061,151.134198,27.905173,70.471505,0.05871,15.302961,0.072768,45.00004,1.363436,4.465093,1.462437,3.3467,0.305355,0.110541,104.574897,122.932477,91.156707,Bankrupted
18.084061,-71.787466,0.021042,0.038628,2.817719,1.143367,0.544736,0.521513,2089.152419,1686.274746,771.431076,-0.007257,18.069546,0.941226,38.746819,0.031585,0.058735,2.873073,1.186579,0.537763,0.520988,1920.420588,1359.942155,122.140436,-0.00695,18.055646,-0.742006,59.534723,0.034124,0.064885,2.818139,1.258966,0.525912,0.510865,1717.897799,1794.886759,0,Bankrupted
